Dive.ID,Dive.Name,Cruise.Name,Start.Date,End.Date,Annotation.ID,Annotation.Source,Modified.Date,Creator.First.Name,Creator.Last.Name,Creator.Email,Modifier.First.Name,Modifier.Last.Name,Modifier.Email,To.Be.Reviewed,Comment,Latitude..deg.,Longitude..deg.,Oxygen.Concentration..mg.l.,Temperature..C.,Depth..m.,Salinity..psu.,Turbidity..FTU.,Taxonomy,Medium,Sediment_type,Sediment_consistency,Morphotype,Count,Taxon,Taxon.Common.Names,Taxon.Path,Phylum,Class,Genus,Subgenus,Kingdom,Suborder,Subspecies,Subfamily,Family,Species,Order,Subclass,Superfamily
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T183732.000Z,20230824T183732.000Z,11842810,SeaScribe,20240126T121533.416Z,Lara,Beckmann,lara.maleen.beckmann@gu.se,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,cf. lindahli,55.930478,-152.918505,3.61376,1.59126,3097.5457,34.6413,0.9035,WoRMS,coarse sand,1,soft,CAO09,1,Umbellula cf lindahli,,,Cnidaria,Octocorallia,Umbellula,,Animalia,,,,Umbellulidae,lindahli,Scleralcyonacea ,,Pennatuloidea 
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T184336.552Z,20230824T184336.552Z,5670073,SeaScribe,20240126T122455.968Z,Arvind,Shantharam,arvind.shantharam@noaa.gov,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,,55.930435,-152.918559,3.55687,1.55184,3097.4624,34.65549,1.0073,WoRMS,coarse sand,1,soft,PD09,1,Cladorhizidae sp 4,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T185452.000Z,20230824T185452.000Z,11853740,SeaScribe,20240129T080122.685Z,Lara,Beckmann,lara.maleen.beckmann@gu.se,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,cf. Lepidisis,55.930359,-152.918698,3.52485,1.55622,3093.3255,34.6509,1.0195,WoRMS,basalt outcrop,5,hard,CAO10,6,Bathygorgia profunda,,,Cnidaria,Octocorallia,Bathygorgia,,Animalia,,,Keratoisidinae,Keratoisididae,profunda,Scleralcyonacea ,,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T185815.752Z,20230824T185815.752Z,5670173,SeaScribe,20240325T150604.751Z,Arvind,Shantharam,arvind.shantharam@noaa.gov,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,no close up,55.930327,-152.918666,3.49028,1.55184,3092.6801,34.65343,1.0012,WoRMS,basalt outcrop,5,hard,CAH08,2,Parantipathes spp,,,Cnidaria,Hexacorallia,Parantipathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T185858.333Z,20230824T185858.333Z,11419160,SeaScribe,20240129T071222.418Z,ISC,Watch,innerspacecenter@gmail.com,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,,55.930359,-152.918636,3.5309,1.55088,3091.9814,34.65401,0.9096,WoRMS,basalt outcrop,5,hard,PD05,8,Cladorhiza sp 2,,,Porifera,Demospongiae,Cladorhiza,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T185925.907Z,20230824T185925.907Z,5670183,SeaScribe,20240129T071121.923Z,Arvind,Shantharam,arvind.shantharam@noaa.gov,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,zoom,55.930276,-152.918516,3.49785,1.55106,3091.8596,34.65357,0.9096,WoRMS,basalt outcrop,5,hard,PD05,1,Cladorhiza sp 2,,,Porifera,Demospongiae,Cladorhiza,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T190241.547Z,20230824T190241.547Z,11419170,SeaScribe,20240129T072118.936Z,ISC,Watch,innerspacecenter@gmail.com,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,,55.930229,-152.918588,3.53975,1.55184,3092.031,34.65335,1.9475,WoRMS,basalt outcrop,5,hard,CAH08,2,Parantipathes spp,,,Cnidaria,Hexacorallia,Parantipathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T190515.692Z,20230824T190515.692Z,11419190,SeaScribe,20240129T073405.736Z,ISC,Watch,innerspacecenter@gmail.com,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,with juveniles? (3),55.930258,-152.918703,3.55175,1.55526,3091.7913,34.65408,0.9951,WoRMS,basalt outcrop,5,hard,PH06,1,Caulophacus (Oxydiscus) sp 3,,,Porifera,Hexactinellida,Caulophacus,Oxydiscus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T191002.000Z,20230824T191002.000Z,11853700,SeaScribe,20240325T150849.962Z,Lara,Beckmann,lara.maleen.beckmann@gu.se,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,,55.930381,-152.918567,3.50786,1.55448,3092.5447,34.65174,0.9096,WoRMS,basalt outcrop,5,hard,CAH06,1,Bathypathes sp 2,,,Cnidaria,Hexacorallia,Bathypathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
2883,EX2306_Dive01 Kodiak Shelf,NOAA OER EX2306 Seascape Alaska: Gulf of AK Exploration,20230824T191708.000Z,20230824T191708.000Z,11853710,SeaScribe,20240129T074134.317Z,Lara,Beckmann,lara.maleen.beckmann@gu.se,Lara,Beckmann,lara.maleen.beckmann@gu.se,FALSE,,55.930409,-152.918717,3.41948,1.55688,3090.0019,34.65356,0.928,WoRMS,basalt outcrop,5,hard,PD05,9,Cladorhiza sp 2,,,Porifera,Demospongiae,Cladorhiza,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
