Morphotype,Taxon,Taxon Common Names,Taxon Path,Phylum,Class,Genus,Subgenus,Kingdom,Suborder,Subspecies,Subfamily,Family,Species,Order,Subclass,Superfamily
PD06,Abyssocladia sp,,,Porifera,Demospongiae,Abyssocladia,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PH33,Acanthascus (Rhabdocalyptus) sp 1,,,Porifera,Hexactinellida,Acanthascus,Rhabdocalyptus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH04,Acanthascus (Staurocalyptus) sp 2,,,Porifera,Hexactinellida,Acanthascus,Staurocalyptus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH51,Acanthascus sp 3,,,Porifera,Hexactinellida,Acanthascus,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH55,Acanthascus sp 4,,,Porifera,Hexactinellida,Acanthascus,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH46,Acanthascus sp 5,,,Porifera,Hexactinellida,Acanthascus,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
CAO34,Acanthogorgia sp 1,,,Cnidaria,Octocorallia,Acanthogorgia,,Animalia,,,,Acanthogorgiidae,,Malacalcyonacea,,
CAO68,Acanthogorgiidae sp 1,,,Cnidaria,Octocorallia,,,Animalia,,,,Acanthogorgiidae,,Malacalcyonacea,,
CAO50,Alaskagorgia cf aleutiana ,,,Cnidaria,Octocorallia,Alaskagorgia,,Animalia,,,,,aleutiana,,,
PH15,Amphidiscella sp 1,,,Porifera,Hexactinellida,Amphidiscella,,Animalia,,,Bolosominae,Euplectellidae,,Lyssacinosida,Hexasterophora,
CAH15,Antipatharia sp 1,,,Cnidaria,Hexacorallia,,,Animalia,,,,,,Antipatharia,,
CAO15,Anthoptilum sp A,,,Cnidaria,Octocorallia,Anthoptilum,,Animalia,,,,Anthoptilidae ,A,Scleralcyonacea ,,Pennatuloidea 
CAO31,Anthoptilum sp B,,,Cnidaria,Octocorallia,Anthoptilum,,Animalia,,,,Anthoptilidae ,B,Scleralcyonacea ,,Pennatuloidea 
CAO42,Anthoptilum sp C,,,Cnidaria,Octocorallia,Anthoptilum,,Animalia,,,,Anthoptilidae ,C,Scleralcyonacea ,,Pennatuloidea 
PH49,Aphrocallistes vastus,cloud sponge,,Porifera,Hexactinellida,Aphrocallistes,,Animalia,,,,Aphrocallistidae,vastus,Sceptrulophora,Hexasterophora,
CAO54,Arthrogorgia sp 1,,,Cnidaria,Octocorallia,,,Animalia,,,,Primnoidae,,Scleralcyonacea ,,
PH40,Asconema sp 1,,,Porifera,Hexactinellida,Asconema,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH23,Atlantisella sp 1,,,Porifera,Hexactinellida,Atlantisella,,Animalia,,,Corbitellinae,Euplectellidae,,Lyssacinosida,Hexasterophora,
CAO36,Balticina cf californica,,,Cnidaria,Octocorallia,Balticina,,Animalia,,,,Balticinidae,californica,Scleralcyonacea ,,Pennatuloidea 
CAO60,Balticina sp 1,,,Cnidaria,Octocorallia,Balticina,,Animalia,,,,Balticinidae,,Scleralcyonacea ,,Pennatuloidea 
CAO25,Balticina sp A,,,Cnidaria,Octocorallia,Balticina,,Animalia,,,,Balticinidae,A,Scleralcyonacea ,,Pennatuloidea 
CAO10,Bathygorgia profunda,,,Cnidaria,Octocorallia,Bathygorgia,,Animalia,,,Keratoisidinae,Keratoisididae ,profunda,Scleralcyonacea ,,
CAO30,Bathygorgia sp 1,,,Cnidaria,Octocorallia,Bathygorgia,,Animalia,,,Keratoisidinae,Keratoisididae ,,Scleralcyonacea ,,
CAO63,Bathygorgia sp A,,,Cnidaria,Octocorallia,Bathygorgia,,Animalia,,,Keratoisidinae,Keratoisididae ,A,Scleralcyonacea ,,
CAH09,Bathypathes cf alaskensis,,,Cnidaria,Hexacorallia,Bathypathes,,Animalia,,,,Schizopathidae,alaskensis,Antipatharia,,
CAH11,Bathypathes sp 1,,,Cnidaria,Hexacorallia,Bathypathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
CAH06,Bathypathes sp 2,,,Cnidaria,Hexacorallia,Bathypathes,,Animalia,,,,Schizopathidae,,Antipatharia,,
CAO16,Callistephanus cf simplex,,,Cnidaria,Octocorallia,Callistephanus,,Animalia,,,,Plexauridae,simplex,Malacalcyonacea,,
CAO28,Callistephanus pacifica,,,Cnidaria,Octocorallia,Callistephanus,,Animalia,,,,Plexauridae,pacifica,Malacalcyonacea,,
CAO57,Callistephanus sp 1,,,Cnidaria,Octocorallia,Callistephanus,,Animalia,,,,Plexauridae,,Malacalcyonacea,,
PH01,Caulophacus (Caulophacus) sp 1,,,Porifera,Hexactinellida,Caulophacus,Caulophacus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH39,Caulophacus (Caulophacus) sp 2,,,Porifera,Hexactinellida,Caulophacus,Caulophacus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH06,Caulophacus (Oxydiscus) sp 3,,,Porifera,Hexactinellida,Caulophacus,Oxydiscus,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PH22,Caulophacus sp 4,,,Porifera,Hexactinellida,Caulophacus,,Animalia,,,,Rossellidae,,Lyssacinosida,Hexasterophora,
PD08,Chondrocladia (Chondrocladia),,,Porifera,Demospongiae,Chondrocladia,Chondrocladia,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PH19,Chonelasma cf oreia,,,Porifera,Hexactinellida,Chonelasma,,Animalia,,,Chonelasmatinae,Euretidae,oreia,Sceptrulophora,Hexasterophora,
PH57,Chonelasma sp 1,,,Porifera,Hexactinellida,Chonelasma,,Animalia,,,Chonelasmatinae,Euretidae,,Sceptrulophora,Hexasterophora,
CAO55,Chrysogorgia sp 1,,,Cnidaria,Octocorallia,Chrysogorgia,,Animalia,,,,Chrysogorgiidae,,Scleralcyonacea ,,
PD34,Cladocroe infundibulum,,,Porifera,Demospongiae,Cladocroce,,Animalia,,,,Chalinidae,,Haplosclerida,Heteroscleromorpha,
PD04,Cladorhiza sp 1,,,Porifera,Demospongiae,Cladorhiza,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD05,Cladorhiza sp 2,,,Porifera,Demospongiae,Cladorhiza,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD02,Cladorhizidae sp 1,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD07,Cladorhizidae sp 2,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD03,Cladorhizidae sp 3,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD09,Cladorhizidae sp 4,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
